Repeating words      |  Times repeated  |  Rows
means                |  2               |  170 267 
meat                 |  3               |  14 224 240 
members              |  3               |  170 285 
metatarsal           |  2               |  85 86 
method               |  3               |  141 143 
middle               |  2               |  54 112 
might                |  2               |  172 211 
milk                 |  4               |  136 
million              |  5               |  45 60 279 
mines                |  2               |  233 
minutes              |  2               |  130 136 
molars               |  3               |  79 83 
months               |  2               |  127 133 
more                 |  18              |  52 54 60 96 98 110 116 133 143 170 176 184 186 237 240 
most                 |  7               |  116 139 143 166 182 186 
mouth                |  2               |  133 240 
much                 |  4               |  58 112 120 240 
muzzle               |  2               |  85 86 
mwa                  |  2               |  174 
name                 |  4               |  35 43 52 136 
native               |  3               |  43 235 279 
natural              |  3               |  193 216 217 
neck                 |  2               |  166 170 
needed               |  5               |  54 58 65 150 186 
no                   |  2               |  96 186 
not                  |  15              |  54 58 83 116 118 125 127 133 143 184 186 237 
now                  |  2               |  259 261 
number               |  8               |  240 273 
nutrients            |  2               |  136 148 
observed             |  2               |  136 235 
of                   |  170             |  4 43 45 47 52 54 58 60 63 64 65 67 83 85 86 87 98 100 108 112 114 118 120 125 127 133 136 139 141 143 148 150 166 168 170 172 174 176 182 184 186 193 213 219 221 224 226 228 231 232 233 235 237 240 245 257 266 267 272 273 278 279 284 285 291 299 
off                  |  2               |  133 170 
often                |  6               |  83 108 125 172 174 224 
old                  |  3               |  11 127 240 
on                   |  13              |  54 112 120 125 143 150 180 181 240 267 273 291 
one                  |  8               |  83 98 143 172 184 291 
only                 |  10              |  43 52 108 118 136 170 219 224 237 285 
or                   |  31              |  43 52 54 65 85 86 98 100 108 116 118 136 143 166 170 172 174 176 184 189 221 240 273 291 
order                |  4               |  54 273 279 285 
original             |  2               |  60 100 
originating          |  2               |  216 217 
other                |  16              |  54 83 98 110 120 143 166 170 172 273 
others               |  3               |  43 54 172 
out                  |  3               |  60 141 172 
outer                |  3               |  83 189 
over                 |  4               |  45 60 136 
pack                 |  4               |  14 43 164 165 
pacos                |  3               |  52 105 
part                 |  4               |  60 83 112 143 
partially            |  2               |  100 136 
particularly         |  2               |  184 245 
parts                |  4               |  85 86 112 221 
passing              |  2               |  108 120 
pastern              |  2               |  85 86 
people               |  4               |  166 221 224 
period               |  2               |  133 141 
placed               |  2               |  52 221 
point                |  3               |  85 86 237 
pointed              |  2               |  83 
poll                 |  2               |  85 86 
position             |  2               |  54 130 
predation            |  2               |  184 186 
predators            |  3               |  136 182 186 
premaxilla           |  2               |  83 87 
premolar             |  3               |  83 
premolars            |  2               |  75 83 
present              |  2               |  83 273 
prev                 |  2               |  52 
previously           |  2               |  58 100 
primarily            |  2               |  114 
produce              |  3               |  100 136 233 
producers            |  3               |  182 184 186 
quickly              |  2               |  184 
quite                |  2               |  148 221 
range                |  2               |  39 112 
rather               |  2               |  96 184 
reach                |  3               |  65 127 133 
recognized           |  2               |  52 100 
reducing             |  2               |  136 186 
region               |  3               |  112 216 217 
related              |  2               |  240 293 
reproductive         |  2               |  125 143 
requires             |  2               |  136 143 
resemble             |  2               |  98 112 
resulted             |  2               |  240 
ruminants            |  3               |  54 118 
s                    |  5               |  182 240 
sculpture            |  4               |  214 215 216 217 
separated            |  3               |  52 96 143 
series               |  4               |  83 245 
seven                |  2               |  45 285 
sexually             |  3               |  127 176 
sheep                |  10              |  52 118 180 181 182 184 199 237 
shorter              |  2               |  87 110 
shoulder             |  4               |  85 86 
showing              |  2               |  54 168 
sign                 |  3               |  174 240 
silage               |  2               |  150 152 
similar              |  2               |  130 240 
simple               |  2               |  43 83 
since                |  3               |  14 182 233 
single               |  3               |  54 58 182 
size                 |  3               |  87 108 116 
small                |  5               |  43 83 114 170 
smaller              |  4               |  87 110 148 182 
so                   |  2               |  98 136 
social               |  5               |  43 170 172 
soft                 |  3               |  43 96 114 
some                 |  8               |  54 65 141 143 182 193 237 
sound                |  6               |  143 172 174 176 
source               |  2               |  65 186 
southern             |  2               |  112 228 
special              |  2               |  54 184 
species              |  9               |  54 58 60 98 100 114 237 285 
speculative          |  2               |  240 
spit                 |  3               |  170 
spitting             |  4               |  166 170 
standing             |  4               |  54 136 243 
state                |  4               |  100 108 228 
stifle               |  2               |  85 86 
stomach              |  4               |  118 170 
suborder             |  2               |  279 285 
suckle               |  2               |  136 
suggests             |  2               |  184 237 
suited               |  3               |  186 211 267 
tail                 |  5               |  85 86 96 
take                 |  2               |  136 172 
tend                 |  2               |  116 184 
terms                |  2               |  141 
th                   |  6               |  45 237 240 267 
